fu2 伏佛俘凫包咐夫市幅扶拂服沸浮福符芙蝠袱辐还
xiu1 休修羞
xu4 休叙姐婿序恤旭畜絮绪续蓄酗
yin2 众吟垦淫言银
you1 优奥幽忧悠
you2 优尤油游犹由邮
huo3 伙扮火
huo 伙和
hui4 会惠慧晦毁汇涣溃秽绘讳诲贿
kuai4 会傀块快筷魁
san3 伞散
wei3 伟伪唯委尾有畏纬苇萎
chuan2 传船
zhuan4 传撰赚转
shang1 伤商汤
bo2 伯佛勃募博怕拍搏暴服柏泊渤瀑爆白百簿脖膊舶菩蒲薄跑驳魄
bai3 伯摆柏百
ba4 伯坝把爸罢耙霸靶
gu1 估咕姑孤家枯沽箍菇辜骨
gu4 估古告固故雇顾
ban4 伴办半扮拌瓣绊辨
pan4 伴判半叛潘片畔番盼胖
shen1 伸信参呻深申神绅身震
ci4 伺刺措次赐
dian4 佃垫奠店惦殿沾涎淀玷电甸蜓
tian2 佃填恬甜田甸
dan4 但弹忱憾担旦氮淡潭石蛋蜒诞
tan3 但坦毯胆袒
yan4 但俺厌咽唁堰宴掩沿涎淡淫演炎焰燕研砚艳蔫蜒言谚雁验
di1 低嘀堤提滴的
you4 佑又右叹幼忧扰有油犹诱
ti3 体
ti1 体剔梯踢
ben4 体夯奔笨
cui4 体卒察悴粹翠脆
he2 何合和哈害揭核河洽渴盒禾荷蝎
he4 何吓呼和喝格硅荷褐贺赫霍鹤
tu2 余兔图土屠徒杜涂跌途
xu2 余徐邪
fo2 佛
bi4 佛卑壁币庇弊必拂服比毕毙泌波璧痹碧秘脾臂蓖蔽虑被跛辟避闭
zuo1 作
zuo2 作昨琢
ni3 你呢尼拟昵泥
yong1 佣庸拥
yong4 佣用
pei4 佩啡沛肺配
jia1 佳加咖嘉夹家挟枷茄
shi3 使史始屎斯施矢驶
zhi2 侄值执拓指植殖直职
chi3 侈哆尺拖移耻齿
lie4 例列劣咧栗烈猎累膊裂
gong1 供公共功宫工弓恭攻杠红蚣躬
gong4 供共虹贡
xia2 侠假匣峡押斜暇狭辖霞
lv3 侣吕屡履旅缕铝
jiao3 侥剿咬妖搅校狡矫绞缴脚角饺
yao2 侥姚摇淫窑肴谣遥陶
zhen1 侦唇振斟榛珍真贞趁针鼎
ce4 侧册厕栅测策赦
ze4 侧
zhai1 侧摘斋
hou2 侯喉猴
hou4 侯候厚后
qin3 侵寝
bian4 便变辨辩辫遍
pian2 便平扁蝙
bian1 便扁编蝙边鞭
cu4 促卒戚簇趣醋
chuo4 促簇绰踱
e2 俄蛤蛾讹额鹅
jun4 俊卷峻竣菌骏
shun4 俊巡瞬顺
dun1 俊吨墩敦蹲
qiao4 俏削壳峭悄捎撬硝窍翘
xiao4 俏哨哮啸孝效校狡笑肖芍
xiao1 俏削号呼哨哮唬嚣宵捎搜梢消硝箫肖萧销
su2 俗
bao3 保呆堡宝饱
xin4 信芯衅
lia3 俩
jian3 俭减前剪咸拣捡柬检煎碱简茧
fu3 俯哺府抚斧父甫脯腐辅
ju4 俱具剧句姐巨惧拒据沮渠炬聚足距锯
an3 俺
bei4 倍北备惫拔焙狈背菩葡被贝跋辈
pei2 倍坏培赔陪
dao4 倒到受悼敦盗稻道陶
dao3 倒导岛捣祷蹈道
jue4 倔
tang3 倘淌躺
chang2 倘偿场尚尝常肠裳长
